timestamp,esp1_vib,esp2_vib,esp1_x,esp1_y,esp1_z,esp2_x,esp2_y,esp2_z,Output
2025-09-14 14:52:22,0,0,1598,1321,1397,1855,1535,1411,1
2025-09-14 14:52:23,0,0,1589,1313,1383,1858,1535,1409,1
2025-09-14 14:52:25,0,0,1589,1314,1389,1856,1535,1410,1
2025-09-14 14:52:26,0,0,1555,1200,1333,2045,1577,1280,1
2025-09-14 14:52:27,1,0,1798,1287,1383,1922,1505,1445,1
2025-09-14 14:52:29,1,0,1615,1314,1365,1870,1581,1387,1
2025-09-14 14:52:30,1,0,2000,1356,1237,2253,1462,1584,1
2025-09-14 14:52:31,1,0,1614,1331,1328,2253,1462,1584,1
2025-09-14 14:52:32,1,0,1602,1322,1363,1954,1579,1395,1
2025-09-14 14:52:33,1,0,1514,1339,1354,1747,1618,1273,1
2025-09-14 14:52:35,1,0,1607,1328,1408,1872,1520,1409,1
2025-09-14 14:52:36,1,0,1611,1328,1360,1853,1535,1405,1
2025-09-14 14:52:37,1,0,1689,1319,1345,2438,1455,1618,1
2025-09-14 14:52:39,1,0,1535,1317,1424,1526,1535,1327,1
2025-09-14 14:52:40,1,0,1594,1301,1406,2097,1535,1490,1
2025-09-14 14:52:42,1,0,1599,1310,1378,1762,1526,1392,1
2025-09-14 14:52:43,1,0,1572,1310,1390,1846,1535,1395,1
2025-09-14 14:52:44,1,0,1589,1328,1397,1846,1535,1395,1
2025-09-14 14:52:45,1,0,1577,1312,1437,1807,1535,1372,1
2025-09-14 14:52:47,1,0,1708,1296,1430,1911,1506,1439,1
2025-09-14 14:52:48,1,0,1610,1324,1390,1829,1534,1396,1
2025-09-14 14:52:49,1,0,1593,1315,1395,1831,1527,1395,1
2025-09-14 14:52:51,1,0,1598,1311,1379,1833,1534,1397,1
2025-09-14 14:52:52,1,0,1574,1305,1392,1845,1535,1406,1
2025-09-14 14:52:53,1,0,1574,1305,1392,1855,1535,1395,1
2025-09-14 14:52:54,1,0,1631,1319,1399,1845,1523,1403,1
2025-09-14 14:52:55,1,0,1622,1326,1405,1862,1523,1408,1
2025-09-14 14:52:57,1,0,1616,1328,1397,1855,1531,1405,1
2025-09-14 14:52:58,1,0,1600,1314,1383,1872,1535,1419,1
2025-09-14 14:53:00,1,0,1622,1309,1375,1858,1535,1406,1
2025-09-14 14:53:01,1,0,1535,1327,1375,1823,1515,1402,1
2025-09-14 14:53:02,1,0,1366,1173,1708,1828,1512,1406,1
