timestamp,esp1,esp1_vib,esp2,esp2_vib
2025-09-14 14:53:02,Vibration: 1 | X: 1366 | Y: 1173 | Z: 1708 | Status: ACTIVE,1,Vibration: 0 | X: 1828 | Y: 1512 | Z: 1406 | Status: ACTIVE,0
2025-09-14 14:53:03,Vibration: 1 | X: 2183 | Y: 1322 | Z: 1293 | Status: LOW,1,Vibration: 0 | X: 2038 | Y: 1431 | Z: 1510 | Status: ACTIVE,0
2025-09-14 14:53:04,Vibration: 1 | X: 1597 | Y: 1326 | Z: 1410 | Status: LOW,1,Vibration: 0 | X: 1838 | Y: 1535 | Z: 1393 | Status: ACTIVE,0
2025-09-14 14:53:06,Vibration: 1 | X: 1575 | Y: 1310 | Z: 1391 | Status: ACTIVE,1,Vibration: 0 | X: 1927 | Y: 1555 | Z: 1420 | Status: ACTIVE,0
2025-09-14 14:53:07,Vibration: 1 | X: 1614 | Y: 1385 | Z: 1281 | Status: ACTIVE,1,Vibration: 0 | X: 1846 | Y: 1531 | Z: 1407 | Status: ACTIVE,0
2025-09-14 14:53:08,Vibration: 1 | X: 1626 | Y: 1318 | Z: 1410 | Status: ACTIVE,1,Vibration: 0 | X: 1840 | Y: 1535 | Z: 1401 | Status: ACTIVE,0
2025-09-14 14:53:10,Vibration: 1 | X: 1599 | Y: 1313 | Z: 1407 | Status: ACTIVE,1,Vibration: 0 | X: 1861 | Y: 1527 | Z: 1395 | Status: ACTIVE,0
2025-09-14 14:53:11,Vibration: 1 | X: 1612 | Y: 1299 | Z: 1391 | Status: ACTIVE,1,Vibration: 0 | X: 1840 | Y: 1522 | Z: 1397 | Status: ACTIVE,0
2025-09-14 14:53:12,Vibration: 1 | X: 1595 | Y: 1299 | Z: 1386 | Status: ACTIVE,1,Vibration: 0 | X: 1876 | Y: 1535 | Z: 1408 | Status: ACTIVE,0
2025-09-14 14:53:13,Vibration: 1 | X: 1650 | Y: 1316 | Z: 1392 | Status: ACTIVE,1,Vibration: 0 | X: 1793 | Y: 1533 | Z: 1394 | Status: ACTIVE,0
2025-09-14 14:53:15,Vibration: 1 | X: 1614 | Y: 1326 | Z: 1408 | Status: ACTIVE,1,Vibration: 0 | X: 1850 | Y: 1514 | Z: 1406 | Status: ACTIVE,0
2025-09-14 14:53:16,Vibration: 1 | X: 1562 | Y: 1296 | Z: 1441 | Status: ACTIVE,1,Vibration: 0 | X: 1819 | Y: 1559 | Z: 1375 | Status: ACTIVE,0
2025-09-14 14:53:17,Vibration: 1 | X: 1596 | Y: 1326 | Z: 1401 | Status: ACTIVE,1,Vibration: 0 | X: 1725 | Y: 1585 | Z: 1337 | Status: ACTIVE,0
2025-09-14 14:53:19,Vibration: 1 | X: 1647 | Y: 1323 | Z: 1413 | Status: ACTIVE,1,Vibration: 0 | X: 1958 | Y: 1570 | Z: 1420 | Status: ACTIVE,0
2025-09-14 14:53:20,Vibration: 1 | X: 1711 | Y: 1311 | Z: 1390 | Status: ACTIVE,1,Vibration: 0 | X: 1827 | Y: 1535 | Z: 1393 | Status: ACTIVE,0
2025-09-14 14:53:21,Vibration: 1 | X: 1595 | Y: 1308 | Z: 1426 | Status: ACTIVE,1,Vibration: 0 | X: 1674 | Y: 1590 | Z: 1337 | Status: ACTIVE,0
2025-09-14 14:53:23,Vibration: 1 | X: 1513 | Y: 1333 | Z: 1417 | Status: ACTIVE,1,Vibration: 0 | X: 1840 | Y: 1520 | Z: 1419 | Status: ACTIVE,0
2025-09-14 14:53:24,Vibration: 1 | X: 1715 | Y: 1311 | Z: 1375 | Status: ACTIVE,1,Vibration: 0 | X: 1934 | Y: 1503 | Z: 1457 | Status: ACTIVE,0
2025-09-14 14:53:25,Vibration: 1 | X: 1497 | Y: 1342 | Z: 1333 | Status: ACTIVE,1,Vibration: 0 | X: 1933 | Y: 1574 | Z: 1409 | Status: ACTIVE,0
2025-09-14 14:53:27,Vibration: 1 | X: 1646 | Y: 1317 | Z: 1421 | Status: ACTIVE,1,Vibration: 0 | X: 1840 | Y: 1535 | Z: 1399 | Status: ACTIVE,0
2025-09-14 14:53:28,Vibration: 1 | X: 1586 | Y: 1297 | Z: 1415 | Status: ACTIVE,1,Vibration: 0 | X: 1891 | Y: 1501 | Z: 1437 | Status: ACTIVE,0
2025-09-14 14:53:29,Vibration: 1 | X: 1614 | Y: 1335 | Z: 1382 | Status: ACTIVE,1,Vibration: 0 | X: 1840 | Y: 1530 | Z: 1392 | Status: ACTIVE,0
2025-09-14 14:53:31,Vibration: 1 | X: 1594 | Y: 1314 | Z: 1393 | Status: ACTIVE,1,Vibration: 0 | X: 1867 | Y: 1520 | Z: 1406 | Status: ACTIVE,0
2025-09-14 14:53:32,Vibration: 1 | X: 1558 | Y: 1331 | Z: 1398 | Status: ACTIVE,1,Vibration: 0 | X: 1845 | Y: 1515 | Z: 1411 | Status: ACTIVE,0
2025-09-14 14:53:33,Vibration: 1 | X: 1598 | Y: 1296 | Z: 1471 | Status: ACTIVE,1,Vibration: 0 | X: 1870 | Y: 1521 | Z: 1407 | Status: ACTIVE,0
2025-09-14 14:53:34,Vibration: 1 | X: 1629 | Y: 1303 | Z: 1397 | Status: ACTIVE,1,Vibration: 0 | X: 1983 | Y: 1552 | Z: 1424 | Status: ACTIVE,0
2025-09-14 14:53:36,Vibration: 1 | X: 1584 | Y: 1317 | Z: 1389 | Status: ACTIVE,1,Vibration: 0 | X: 1759 | Y: 1486 | Z: 1401 | Status: ACTIVE,0
2025-09-14 14:53:37,Vibration: 1 | X: 1584 | Y: 1317 | Z: 1389 | Status: ACTIVE,1,Vibration: 0 | X: 1759 | Y: 1486 | Z: 1401 | Status: ACTIVE,0
2025-09-14 14:53:38,Vibration: 1 | X: 1578 | Y: 1302 | Z: 1447 | Status: ACTIVE,1,Vibration: 0 | X: 1853 | Y: 1517 | Z: 1399 | Status: ACTIVE,0
2025-09-14 14:53:40,Vibration: 1 | X: 1527 | Y: 1316 | Z: 1422 | Status: ACTIVE,1,Vibration: 0 | X: 1619 | Y: 1561 | Z: 1339 | Status: ACTIVE,0
2025-09-14 14:53:41,Vibration: 1 | X: 1493 | Y: 1322 | Z: 1403 | Status: ACTIVE,1,Vibration: 0 | X: 1846 | Y: 1533 | Z: 1409 | Status: ACTIVE,0
2025-09-14 14:53:42,Vibration: 1 | X: 1626 | Y: 1323 | Z: 1403 | Status: ACTIVE,1,Vibration: 0 | X: 1973 | Y: 1582 | Z: 1399 | Status: ACTIVE,0
2025-09-14 14:53:43,Vibration: 1 | X: 1613 | Y: 1328 | Z: 1407 | Status: ACTIVE,1,Vibration: 0 | X: 1906 | Y: 1530 | Z: 1421 | Status: ACTIVE,0
2025-09-14 14:53:45,Vibration: 1 | X: 1434 | Y: 1325 | Z: 1417 | Status: ACTIVE,1,Vibration: 0 | X: 1302 | Y: 1600 | Z: 1226 | Status: ACTIVE,0
2025-09-14 14:53:46,Vibration: 1 | X: 1804 | Y: 1350 | Z: 1296 | Status: ACTIVE,1,Vibration: 0 | X: 1791 | Y: 1648 | Z: 1291 | Status: ACTIVE,0
2025-09-14 14:53:47,Vibration: 1 | X: 1597 | Y: 1307 | Z: 1475 | Status: ACTIVE,1,Vibration: 0 | X: 1733 | Y: 1568 | Z: 1346 | Status: ACTIVE,0
2025-09-14 14:53:49,Vibration: 1 | X: 1677 | Y: 1318 | Z: 1382 | Status: ACTIVE,1,Vibration: 0 | X: 1675 | Y: 1503 | Z: 1414 | Status: ACTIVE,0
2025-09-14 14:53:50,Vibration: 1 | X: 1680 | Y: 1360 | Z: 1296 | Status: ACTIVE,1,Vibration: 0 | X: 1990 | Y: 1620 | Z: 1392 | Status: ACTIVE,0
2025-09-14 14:53:51,Vibration: 1 | X: 1699 | Y: 1288 | Z: 1421 | Status: ACTIVE,1,Vibration: 0 | X: 2073 | Y: 1517 | Z: 1471 | Status: ACTIVE,0
2025-09-14 14:53:53,Vibration: 1 | X: 1657 | Y: 1310 | Z: 1405 | Status: ACTIVE,1,Vibration: 0 | X: 2064 | Y: 1507 | Z: 1477 | Status: ACTIVE,0
2025-09-14 14:53:54,Vibration: 1 | X: 1038 | Y: 1341 | Z: 1534 | Status: ACTIVE,1,Vibration: 0 | X: 1915 | Y: 1532 | Z: 1415 | Status: ACTIVE,0
2025-09-14 14:53:55,Vibration: 1 | X: 1616 | Y: 1329 | Z: 1359 | Status: ACTIVE,1,Vibration: 0 | X: 1701 | Y: 1600 | Z: 1323 | Status: ACTIVE,0
2025-09-14 14:53:57,Vibration: 1 | X: 1375 | Y: 1268 | Z: 1506 | Status: ACTIVE,1,Vibration: 0 | X: 1809 | Y: 1577 | Z: 1359 | Status: ACTIVE,0
2025-09-14 14:53:58,Vibration: 1 | X: 1566 | Y: 1303 | Z: 1427 | Status: ACTIVE,1,Vibration: 0 | X: 1954 | Y: 1559 | Z: 1418 | Status: ACTIVE,0
2025-09-14 14:54:00,Vibration: 1 | X: 1249 | Y: 1269 | Z: 1583 | Status: ACTIVE,1,Vibration: 0 | X: 1853 | Y: 1517 | Z: 1428 | Status: ACTIVE,0
2025-09-14 14:54:01,Vibration: 1 | X: 1635 | Y: 1313 | Z: 1417 | Status: ACTIVE,1,Vibration: 0 | X: 1778 | Y: 1509 | Z: 1392 | Status: ACTIVE,0
2025-09-14 14:54:02,Vibration: 1 | X: 1710 | Y: 1265 | Z: 1517 | Status: ACTIVE,1,Vibration: 0 | X: 1697 | Y: 1611 | Z: 1328 | Status: ACTIVE,0
2025-09-14 14:54:03,Vibration: 1 | X: 1586 | Y: 1324 | Z: 1367 | Status: ACTIVE,1,Vibration: 0 | X: 1927 | Y: 1522 | Z: 1441 | Status: ACTIVE,0
2025-09-14 14:54:05,Vibration: 1 | X: 1362 | Y: 1312 | Z: 1443 | Status: ACTIVE,1,Vibration: 0 | X: 1826 | Y: 1584 | Z: 1356 | Status: ACTIVE,0
2025-09-14 14:54:06,Vibration: 1 | X: 1720 | Y: 1294 | Z: 1399 | Status: ACTIVE,1,Vibration: 0 | X: 1786 | Y: 1587 | Z: 1363 | Status: ACTIVE,0
2025-09-14 14:54:07,Vibration: 1 | X: 1367 | Y: 1363 | Z: 1335 | Status: ACTIVE,1,Vibration: 0 | X: 1943 | Y: 1535 | Z: 1429 | Status: ACTIVE,0
2025-09-14 14:54:09,Vibration: 1 | X: 1636 | Y: 1319 | Z: 1403 | Status: ACTIVE,1,Vibration: 0 | X: 1795 | Y: 1552 | Z: 1367 | Status: ACTIVE,0
2025-09-14 14:54:10,Vibration: 1 | X: 1443 | Y: 1329 | Z: 1434 | Status: ACTIVE,1,Vibration: 0 | X: 1826 | Y: 1531 | Z: 1368 | Status: ACTIVE,0
2025-09-14 14:54:11,Vibration: 1 | X: 1389 | Y: 1339 | Z: 1418 | Status: ACTIVE,1,Vibration: 0 | X: 1825 | Y: 1535 | Z: 1380 | Status: ACTIVE,0
2025-09-14 14:54:13,Vibration: 1 | X: 1554 | Y: 1306 | Z: 1431 | Status: ACTIVE,1,Vibration: 0 | X: 1846 | Y: 1535 | Z: 1390 | Status: ACTIVE,0
